name,title,medium,year,size,sale,sold,estimate
Georges Braque,Odysseus,pastel on paper laid down on canvas,Circa 1931-1932,Height 71.3 in.; Width 29.1 in. / Height 181 cm.; Width 74 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00535]
Impressionist and Modern Art Works on Paper Sale","475,000 USD Premium","100,000 - 150,000 USD ?"
William Merritt Chase,Portrait of the Artist's Daughter (Dorothy),oil on canvas,Circa 1897,Height 35.5 in.; Width 25.5 in. / Height 90.2 cm.; Width 64.8 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00711]
Impressionist and Modern Art Day Sale","250,000 USD Premium","200,000 - 300,000 USD ?"
Alfred Sisley,Les moulins de Moret–Hiver,oil on canvas,1890,Height 21.4 in.; Width 28.9 in. / Height 54.4 cm.; Width 73.5 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00716]
Impressionist and Modern Art Day Sale","870,000 USD Premium","700,000 - 1,000,000 USD ?"
Pierre-Auguste Renoir,Anémones au vase de Delft,oil on canvas,1910,Height 21.9 in.; Width 18.4 in. / Height 55.6 cm.; Width 46.7 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00712]
Impressionist and Modern Art Day Sale","1,830,000 USD Premium","600,000 - 800,000 USD ?"
Francis Picabia,Sans titre,oil on canvas,1903,Height 13 in.; Width 16.7 in. / Height 33 cm.; Width 42.3 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00705]
Impressionist and Modern Art Day Sale","60,000 USD Premium","60,000 - 80,000 USD ?"
Gustave Loiseau,Petite ferme dans le Calvados,oil on canvas,Height 19.8 in.; Width 24.2 in. / Height 50.2 cm.; Width 61.4 cm.,"Signed, Inscribed","30,000 - 50,000 USD ?",,"150,000 USD Premium ?"
Marie Laurencin,Tête de femme,oil on canvas,Height 14 in.; Width 10.9 in. / Height 35.5 cm.; Width 27.7 cm.,Signed,"30,000 - 50,000 USD ?",,"62,500 USD Premium ?"
Maurice Utrillo,L'Hôpital de Provins (Seine-et-Marne),oil on board,Circa 1919,Height 18.1 in.; Width 23.8 in. / Height 46 cm.; Width 60.4 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00793]
Impressionist and Modern Art Day Sale","125,000 USD Premium","80,000 - 120,000 USD ?"
Jean Dufy,Stockholm,oil on canvas,Height 18.1 in.; Width 21.7 in. / Height 46.1 cm.; Width 55 cm.,"Signed, Inscribed","30,000 - 50,000 USD ?",,"81,250 USD Premium ?"
Jean-Pierre Cassigneul,Les Lilas,oil on canvas,1958,Height 45.9 in.; Width 31.8 in. / Height 116.7 cm.; Width 80.8 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00797]
Impressionist and Modern Art Day Sale","33,750 USD Premium","10,000 - 15,000 USD ?"
Louis Valtat,Femme nue au fauteuil bleu,oil on canvas,1907,Height 36.2 in.; Width 28.9 in. / Height 92 cm.; Width 73.5 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00832]
Impressionist and Modern Art Day Sale","60,000 USD Premium","60,000 - 80,000 USD ?"
Max Pechstein,Rettungshaus in den Dünen,oil on board,1920,Height 18.9 in.; Width 15.2 in. / Height 48 cm.; Width 38.7 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00820]
Impressionist and Modern Art Day Sale",Bought In,"150,000 - 200,000 USD ?"
Marc Chagall,Abraham reçevant les trois anges,oil on canvas,Circa 1978,Height 16.1 in.; Width 13 in. / Height 41 cm.; Width 33 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00808]
Impressionist and Modern Art Day Sale","362,500 USD Premium","250,000 - 350,000 USD ?"
Georges Rouault,Christ et pauvre,oil on canvas,1937,Height 24.5 in.; Width 19 in. / Height 62.2 cm.; Width 48.2 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00809]
Impressionist and Modern Art Day Sale","85,000 USD Premium","80,000 - 120,000 USD ?"
After Fernand Léger,Les deux soeurs sur fond orange,white earthenware ceramic relief with colored engobe and glaze,1952,Height 16.5 in.; Width 12.5 in. / Height 42 cm.; Width 31.7 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00802]
Impressionist and Modern Art Day Sale",Bought In,"50,000 - 70,000 USD ?"
Raoul Dufy,Le théâtre antique de Taormina,oil on canvas,1923,Height 32 in.; Width 39.6 in. / Height 81.4 cm.; Width 100.5 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00795]
Impressionist and Modern Art Day Sale","187,500 USD Premium","150,000 - 250,000 USD ?"
André Masson,La Lettre,oil on canvas,1947,Height 15 in.; Width 18.1 in. / Height 38.1 cm.; Width 46 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00746]
Impressionist and Modern Art Day Sale","52,500 USD Premium","25,000 - 35,000 USD ?"
Maximilien Luce,Paysage près de Méréville,oil on card laid down on board,Circa 1905,Height 12.6 in.; Width 15.4 in. / Height 32 cm.; Width 39 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00844]
Impressionist and Modern Art Day Sale","25,000 USD Premium","12,000 - 18,000 USD ?"
Chaim Soutine,Paysage,oil on canvas,Height 13.9 in.; Width 19.7 in. / Height 35.2 cm.; Width 50 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00824]
Impressionist and Modern Art Day Sale","187,500 USD Premium ?",,
Georges Braque,Les Citrons,oil on canvas,1955,Height 8.3 in.; Width 28.9 in. / Height 21 cm.; Width 73.4 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00796]
Impressionist and Modern Art Day Sale","400,000 USD Premium","150,000 - 200,000 USD ?"
Jean Dufy,Flamenco,oil on canvas,Height 13.1 in.; Width 21.6 in. / Height 33.3 cm.; Width 54.9 cm.,Signed,"20,000 - 30,000 USD ?",,"23,750 USD Premium ?"
Jean-Pierre Cassigneul,Profil,oil on canvas,1964,Height 31.2 in.; Width 22.8 in. / Height 79.3 cm.; Width 57.8 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00858]
Impressionist and Modern Art Day Sale","32,500 USD Premium","12,000 - 18,000 USD ?"
Alberto Giacometti,Buste,oil on canvas,Circa 1947-1948,Height 11.2 in.; Width 7.5 in. / Height 28.5 cm.; Width 19 cm.,"200,000 - 300,000 USD ?",,"250,000 USD Premium ?"
Maurice Utrillo,Une rue à Paris et les fortifications,oil on canvas,1926,Height 21.3 in.; Width 28.7 in. / Height 54 cm.; Width 73 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00789]
Impressionist and Modern Art Day Sale","106,250 USD Premium","80,000 - 120,000 USD ?"
Armand Guillaumin,Madame Guillaumin cousant,oil on canvas,Circa 1890,Height 25.6 in.; Width 23.3 in. / Height 65 cm.; Width 59.2 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00845]
Impressionist and Modern Art Day Sale","30,000 USD Premium","30,000 - 50,000 USD ?"
Georges Rouault,Clowns (Trio),oil on board laid down on cradled panel,Circa 1937-1938,Height 15.4 in.; Width 11.8 in. / Height 39 cm.; Width 29.9 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00791]
Impressionist and Modern Art Day Sale","93,750 USD Premium","50,000 - 70,000 USD ?"
Max Ernst,Coquillage,oil on canvas,Circa 1957,Height 7.5 in.; Width 10.6 in. / Height 19 cm.; Width 27 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00764]
Impressionist and Modern Art Day Sale","75,000 USD Premium","50,000 - 70,000 USD ?"
Henri-Edmond Cross,"Etude pour ""Les Chèvres""",oil on cradled panel,Height 12.5 in.; Width 8.7 in. / Height 31.8 cm.; Width 22.2 cm.,"Signed, Stamped","30,000 - 50,000 USD ?",,"60,000 USD Premium ?"
Georges Braque,Le poisson (au couteau),oil on paper laid down on canvas,1943,Height 19 in.; Width 24.9 in. / Height 48.3 cm.; Width 63.3 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00739]
Impressionist and Modern Art Day Sale","162,500 USD Premium","80,000 - 120,000 USD ?"
Pierre-Auguste Renoir,Femme à la rose,oil on canvas,1917-1919,Height 11.8 in.; Width 11.8 in. / Height 30 cm.; Width 30 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00719]
Impressionist and Modern Art Day Sale","275,000 USD Premium","200,000 - 300,000 USD ?"
Gustave Loiseau,"La rue Thuringe, Bonsecours, Rouen",oil on canvas,1930,Height 21.6 in.; Width 18.1 in. / Height 54.9 cm.; Width 46 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00847]
Impressionist and Modern Art Day Sale","40,000 USD Premium","30,000 - 50,000 USD ?"
Pierre Bonnard,Paysage clair ou Oliviers à Cagnes,oil on canvas,1922,Height 20.1 in.; Width 26.1 in. / Height 51.1 cm.; Width 66.3 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00727]
Impressionist and Modern Art Day Sale","150,000 USD Premium","120,000 - 180,000 USD ?"
Raoul Dufy,L’avenue du bois,oil on canvas,1928,Height 15.4 in.; Width 18.5 in. / Height 39 cm.; Width 47 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00784]
Impressionist and Modern Art Day Sale","75,000 USD Premium","60,000 - 80,000 USD ?"
Pablo Picasso,Nature morte,oil and pencil on canvas,1947,Height 4.7 in.; Width 7.1 in. / Height 12 cm.; Width 18 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00740]
Impressionist and Modern Art Day Sale","600,000 USD Premium","350,000 - 550,000 USD ?"
Maurice Utrillo,"Rue Saint-Vincent, Montmartre",oil on cradled panel,Circa 1908-1910,Height 29.5 in.; Width 41.2 in. / Height 75 cm.; Width 104.7 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00861]
Impressionist and Modern Art Day Sale","75,000 USD Premium","60,000 - 80,000 USD ?"
Pierre-Auguste Renoir,Jeune fille lisant,oil on canvas,Height 5.7 in.; Width 4.7 in. / Height 14.6 cm.; Width 12 cm.,Signed,"100,000 - 150,000 USD ?",,"187,500 USD Premium ?"
Marc Chagall,Autoportrait,"gouache, pastel and charcoal on paper laid down on canvas",1940,Height 19.8 in.; Width 23.9 in. / Height 50.2 cm.; Width 60.8 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00547]
Impressionist and Modern Art Works on Paper Sale","1,050,000 USD Premium","500,000 - 700,000 USD ?"
Édouard Vuillard,"Étude pour ""Autoportrait avec Waroquy""",oil on canvas,1889,Height 10.5 in.; Width 6.5 in. / Height 26.7 cm.; Width 16.5 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00710]
Impressionist and Modern Art Day Sale","175,000 USD Premium","80,000 - 120,000 USD ?"
Camille Pissarro,Le Clocher de Bazincourt,oil on canvas,Circa 1895,Height 25.6 in.; Width 21.5 in. / Height 65 cm.; Width 54.5 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00708]
Impressionist and Modern Art Day Sale","737,500 USD Premium","250,000 - 350,000 USD ?"
Jean Metzinger,Paysage au Bas Meudon,oil on canvas,1916,Height 28.7 in.; Width 21.3 in. / Height 73 cm.; Width 54 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00743]
Impressionist and Modern Art Day Sale","450,000 USD Premium","250,000 - 350,000 USD ?"
Jean Dufy,Assiette de raisins et bouquet de roses,oil on canvas,1930,Height 21.7 in.; Width 18.2 in. / Height 55.2 cm.; Width 46.2 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00799]
Impressionist and Modern Art Day Sale","75,000 USD Premium","20,000 - 30,000 USD ?"
Georges Braque,La théière dans un encadrement ovale,oil on paper laid down on canvas,1951-1952,Height 19.8 in.; Width 25.6 in. / Height 50.2 cm.; Width 65 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00800]
Impressionist and Modern Art Day Sale","112,500 USD Premium","120,000 - 180,000 USD ?"
After Fernand Léger,Petites femmes au perroquet blanc jaune orange,white earthenware ceramic relief with colored engobe and glaze,1952,Height 17.2 in.; Width 14 in. / Height 43.7 cm.; Width 35.5 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00801]
Impressionist and Modern Art Day Sale","112,500 USD Premium","50,000 - 70,000 USD ?"
Marc Chagall,Moïse et le veau d’Or,oil on canvas,Circa 1966,Height 18.1 in.; Width 15 in. / Height 46 cm.; Width 38.1 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00807]
Impressionist and Modern Art Day Sale","412,500 USD Premium","300,000 - 500,000 USD ?"
Marc Chagall,Le peintre et la crucifixion,oil on panel,1965-1970,Height 11.5 in.; Width 9.5 in. / Height 29.2 cm.; Width 24.2 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00806]
Impressionist and Modern Art Day Sale","312,500 USD Premium","250,000 - 350,000 USD ?"
Louis Valtat,"Maternité, femme en bleu devant la fenêtre",oil on paper laid down on cradled panel,1899,Height 18.7 in.; Width 22 in. / Height 47.6 cm.; Width 56 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00843]
Impressionist and Modern Art Day Sale",Bought In,"40,000 - 60,000 USD ?"
Armand Guillaumin,"Damiette, Eté de la St. Martin",oil on canvas,Circa 1884,Height 28.7 in.; Width 39.5 in. / Height 73 cm.; Width 100.3 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00849]
Impressionist and Modern Art Day Sale","56,250 USD Premium","40,000 - 60,000 USD ?"
Paul Sérusier,"Fragment décor, tê tes",oil on canvas,1922,Height 36 in.; Width 28.5 in. / Height 91.5 cm.; Width 72.4 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00826]
Impressionist and Modern Art Day Sale",Bought In,"100,000 - 150,000 USD ?"
Maurice Utrillo,Rue du Mont-Cenis à Montmartre,oil on canvas,Circa 1940-1941,Height 19.7 in.; Width 25.6 in. / Height 50 cm.; Width 65.1 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00857]
Impressionist and Modern Art Day Sale","100,000 USD Premium","80,000 - 120,000 USD ?"
Maurice de Vlaminck,Maisons au bord de l'eau,oil on canvas,1910-1912,Height 25.3 in.; Width 19.3 in. / Height 64.3 cm.; Width 49 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00737]
Impressionist and Modern Art Day Sale","500,000 USD Premium","400,000 - 600,000 USD ?"
Paul Sérusier,Les blés coupés,oil on canvas,Height 36.2 in.; Width 22.1 in. / Height 92 cm.; Width 56.2 cm.,"Signed, Stamped","80,000 - 120,000 USD ?",,"75,000 USD Premium ?"
Maurice Denis,Montefalco,oil on board,1934,Height 13.7 in.; Width 20 in. / Height 34.9 cm.; Width 50.7 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00827]
Impressionist and Modern Art Day Sale","32,500 USD Premium","15,000 - 20,000 USD ?"
Louis Valtat,Panneau d'anémones,oil on canvas laid down on panel,1922,Height 6.3 in.; Width 10 in. / Height 15.9 cm.; Width 25.5 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00790]
Impressionist and Modern Art Day Sale","30,000 USD Premium","8,000 - 12,000 USD ?"
